,co2
0,195.0
1,200.0
2,210.0
3,195.0
4,200.0
5,210.0
6,195.0
7,195.0
8,202.0
9,202.0
10,178.0
11,271.0
12,283.0
13,198.0
14,199.0
15,209.0
16,209.0
17,180.0
18,280.0
19,287.0
20,230.0
21,271.0
22,289.0
23,308.0
24,296.0
25,278.0
26,278.0
27,220.0
28,460.0
29,450.0
30,483.0
31,503.0
32,511.0
33,221.0
34,276.0
35,350.0
36,341.0
37,187.0
38,204.0
39,202.0
40,223.0
41,192.0
42,223.0
43,230.0
44,138.0
45,173.0
46,143.0
47,173.0
48,197.0
49,211.0
50,206.0
51,214.0
52,197.0
53,228.0
54,221.0
55,149.0
56,176.0
57,230.0
58,242.0
59,186.0
60,213.0
61,213.0
62,235.0
63,254.0
64,264.0
65,146.0
66,186.0
67,206.0
68,235.0
69,230.0
70,159.0
71,186.0
72,242.0
73,262.0
74,264.0
75,192.0
76,224.0
77,283.0
78,298.0
79,266.0
80,281.0
81,317.0
82,219.0
83,243.0
84,259.0
85,298.0
86,317.0
87,317.0
88,218.0
89,250.0
90,270.0
91,256.0
92,267.0
93,216.0
94,223.0
95,230.0
96,228.0
97,183.0
98,213.0
99,168.0
100,187.0
101,209.0
102,268.0
103,268.0
104,187.0
105,220.0
106,237.0
107,225.0
108,249.0
109,228.0
110,242.0
111,187.0
112,213.0
113,188.0
114,216.0
115,188.0
116,216.0
117,194.0
118,223.0
119,152.0
120,156.0
121,232.0
122,254.0
123,215.0
124,239.0
125,215.0
126,239.0
127,216.0
128,241.0
129,216.0
130,241.0
131,223.0
132,247.0
133,237.0
134,254.0
135,218.0
136,238.0
137,181.0
138,213.0
139,186.0
140,216.0
141,218.0
142,238.0
143,225.0
144,244.0
145,215.0
146,237.0
147,229.0
148,250.0
149,225.0
150,245.0
151,235.0
152,256.0
153,228.0
154,252.0
155,235.0
156,257.0
157,189.0
158,221.0
159,194.0
160,227.0
161,279.0
162,282.0
163,292.0
164,292.0
165,299.0
166,304.0
167,336.0
168,267.0
169,291.0
170,306.0
171,301.0
172,332.0
173,327.0
174,335.0
175,349.0
176,330.0
177,334.0
178,319.0
179,345.0
180,275.0
181,294.0
182,320.0
183,294.0
184,299.0
185,306.0
186,202.0
187,185.0
188,205.0
189,232.0
190,483.0
191,229.0
192,228.0
193,228.0
194,287.0
195,287.0
196,279.0
