,co_emissions
0,980.0
1,1105.0
2,1103.0
3,980.0
4,1105.0
5,1103.0
6,919.0
7,1069.0
8,1078.0
9,1078.0
10,666.0
11,1200.0
12,1570.0
13,1097.0
14,848.0
15,1296.0
16,1444.0
17,894.0
18,1518.0
19,1267.0
20,1171.0
21,1170.0
22,1177.0
23,1220.0
24,1214.0
25,1222.0
26,1256.0
27,1292.0
28,148.0
29,724.0
30,1608.0
31,1459.0
32,960.0
33,667.0
34,698.0
35,234.0
36,344.0
37,680.0
38,722.0
39,656.0
40,665.0
41,124.0
42,203.0
43,782.0
44,447.0
45,245.0
46,482.0
47,191.0
48,521.0
49,520.0
50,622.0
51,619.0
52,444.0
53,421.0
54,830.0
55,432.0
56,135.0
57,892.0
58,917.0
59,332.0
60,418.0
61,69.0
62,169.0
63,518.0
64,656.0
65,180.0
66,220.0
67,444.0
68,421.0
69,186.0
70,532.0
71,177.0
72,852.0
73,967.0
74,1219.0
75,386.0
76,492.0
77,632.0
78,747.0
79,581.0
80,802.0
81,223.0
82,4.0
83,117.0
84,610.0
85,753.0
86,379.0
87,379.0
88,1053.0
89,431.0
90,525.0
91,446.0
92,472.0
93,691.0
94,628.0
95,863.0
96,628.0
97,722.0
98,1058.0
99,430.0
100,693.0
101,744.0
102,535.0
103,535.0
104,1160.0
105,491.0
106,379.0
107,891.0
108,652.0
109,269.0
110,288.0
111,722.0
112,412.0
113,1160.0
114,814.0
115,1160.0
116,814.0
117,1160.0
118,814.0
119,245.0
120,245.0
121,633.0
122,611.0
123,905.0
124,633.0
125,905.0
126,633.0
127,891.0
128,981.0
129,891.0
130,981.0
131,891.0
132,981.0
133,269.0
134,447.0
135,269.0
136,447.0
137,323.0
138,114.0
139,323.0
140,114.0
141,269.0
142,447.0
143,269.0
144,447.0
145,313.0
146,215.0
147,313.0
148,215.0
149,905.0
150,633.0
151,905.0
152,633.0
153,891.0
154,981.0
155,891.0
156,981.0
157,75.0
158,263.0
159,75.0
160,263.0
161,486.0
162,374.0
163,657.0
164,450.0
165,657.0
166,450.0
167,1248.0
168,981.0
169,374.0
170,450.0
171,450.0
172,1549.0
173,1549.0
174,806.0
175,1249.0
176,832.0
177,972.0
178,1045.0
179,1187.0
180,1423.0
181,540.0
182,578.0
183,620.0
184,1003.0
185,545.0
186,1090.0
187,933.0
188,1097.0
189,1050.0
190,960.0
191,800.0
192,540.0
193,540.0
194,670.0
195,670.0
196,1310.0
197,550.0
198,1180.0
199,42.0
200,1653.0
201,1569.0
202,1034.0
203,1090.0
204,1010.0
205,707.0
206,1010.0
207,179.0
208,696.0
209,391.0
210,1019.0
211,1026.0
212,397.0
213,590.0
214,1224.0
215,174.0
216,833.0
217,396.0
218,497.0
219,567.0
220,512.0
221,625.0
222,512.0
223,133.0
224,133.0
225,629.0
226,629.0
227,389.0
228,389.0
229,455.0
230,418.0
231,455.0
232,418.0
233,1045.0
234,1045.0
235,874.0
236,1397.0
237,916.0
238,1397.0
239,916.0
240,1284.0
241,1584.0
242,1284.0
243,1584.0
244,370.0
245,121.0
246,370.0
247,121.0
248,457.0
249,457.0
250,499.0
251,653.0
252,684.0
253,684.0
254,706.0
255,1703.0
256,706.0
257,1703.0
258,706.0
259,482.0
260,482.0
261,482.0
262,251.0
263,251.0
264,584.0
265,584.0
266,708.0
267,935.0
268,1117.0
269,173.0
270,339.0
271,419.0
272,540.0
273,630.0
274,800.0
275,380.0
276,380.0
277,400.0
278,170.0
279,1010.0
280,1150.0
281,1010.0
282,1150.0
283,780.0
284,780.0
285,650.0
286,778.0
287,1418.0
288,570.0
289,678.0
290,720.0
291,700.0
292,980.0
293,1350.0
294,1130.0
295,1520.0
296,1188.0
297,1097.0
298,461.0
299,696.0
300,621.0
301,961.0
302,736.0
303,269.0
304,697.0
305,1237.0
306,986.0
307,720.0
308,1332.0
309,130.0
310,1104.0
311,1540.0
312,306.0
313,1281.0
314,613.0
315,629.0
316,692.0
317,407.0
318,306.0
319,613.0
320,664.0
321,629.0
322,692.0
323,407.0
324,845.0
325,1337.0
326,1010.0
327,374.0
328,841.0
329,1036.0
330,753.0
331,910.0
332,347.0
333,1189.0
334,374.0
335,657.0
336,1036.0
337,753.0
338,910.0
339,347.0
340,494.0
341,496.0
342,152.0
343,316.0
344,647.0
345,175.0
346,892.0
347,347.0
348,457.0
349,329.0
350,246.0
351,658.0
352,658.0
353,814.0
354,1457.0
355,833.0
356,174.0
357,422.0
358,1182.0
359,422.0
360,1182.0
361,578.0
362,333.0
363,306.0
364,55.0
365,989.0
366,660.0
367,563.0
368,150.0
369,733.0
370,733.0
371,733.0
372,733.0
373,365.0
374,365.0
375,365.0
376,365.0
377,750.0
378,296.0
379,623.0
380,538.0
381,1073.0
382,296.0
383,623.0
384,538.0
385,1073.0
386,660.0
387,563.0
388,660.0
389,563.0
390,563.0
391,745.0
392,427.0
393,526.0
394,157.0
395,662.0
396,275.0
397,662.0
398,275.0
399,224.0
400,374.0
401,518.0
402,474.0
403,224.0
404,374.0
405,518.0
406,474.0
407,518.0
408,474.0
409,518.0
410,474.0
411,518.0
412,474.0
413,895.0
414,230.0
415,895.0
416,230.0
417,895.0
418,230.0
419,895.0
420,230.0
421,895.0
422,230.0
423,895.0
424,230.0
425,109.0
426,526.0
427,109.0
428,526.0
429,109.0
430,526.0
431,526.0
432,109.0
433,710.0
434,491.0
435,710.0
436,491.0
437,491.0
438,710.0
439,491.0
440,710.0
441,710.0
442,349.0
443,1390.0
444,444.0
445,964.0
446,1169.0
447,83.0
448,325.0
449,292.0
450,395.0
451,679.0
452,395.0
453,679.0
454,416.0
455,416.0
456,158.0
457,158.0
458,158.0
459,244.0
460,244.0
461,244.0
462,244.0
463,414.0
464,414.0
465,1182.0
466,1182.0
467,1182.0
468,1182.0
469,1182.0
470,414.0
471,1182.0
472,414.0
473,193.0
474,55.0
475,193.0
476,55.0
477,171.0
478,171.0
479,463.0
480,159.0
481,81.0
482,559.0
483,341.0
484,280.0
485,252.0
486,243.0
487,162.0
488,278.0
489,1140.0
490,988.0
491,329.0
492,283.0
493,684.0
494,703.0
495,688.0
496,620.0
497,651.0
498,599.0
499,554.0
500,656.0
501,533.0
502,698.0
503,698.0
504,718.0
505,718.0
506,941.0
507,933.0
508,1274.0
509,1197.0
510,1009.0
511,266.0
512,266.0
513,548.0
514,590.0
515,772.0
516,383.0
517,772.0
518,383.0
519,772.0
520,383.0
521,772.0
522,383.0
523,772.0
524,383.0
525,517.0
526,194.0
527,517.0
528,768.0
529,517.0
530,768.0
531,517.0
532,194.0
533,704.0
534,772.0
535,383.0
536,772.0
537,938.0
538,592.0
539,383.0
540,592.0
541,383.0
542,772.0
543,938.0
544,642.0
545,768.0
546,517.0
547,768.0
548,642.0
549,768.0
550,642.0
551,768.0
552,517.0
553,768.0
554,1108.0
555,1268.0
556,749.0
557,1035.0
558,1506.0
559,1035.0
560,1236.0
561,970.0
562,970.0
563,965.0
564,970.0
565,649.0
566,649.0
567,1275.0
568,1093.0
569,1275.0
570,1093.0
571,1275.0
572,1093.0
573,1275.0
574,1093.0
575,1098.0
576,1275.0
577,1093.0
578,1275.0
579,1093.0
580,1275.0
581,1093.0
582,1275.0
583,1093.0
584,1098.0
585,1042.0
586,1239.0
587,1236.0
588,957.0
589,1347.0
590,957.0
591,1347.0
592,1022.0
593,1224.0
594,1217.0
595,1262.0
596,1388.0
597,1081.0
598,1141.0
599,179.0
600,1229.0
601,1020.0
602,727.0
603,712.0
604,740.0
605,1009.0
606,740.0
607,1009.0
608,993.0
609,851.0
610,708.0
611,565.0
612,622.0
