,manufacturer,transmission,engine_capacity,noise_level,euro_standard_,fuel_type,Petrol,Diesel,Petrol Hybrid
0,0,0,1598.0,74.0,2.0,0,0,0,0
1,0,0,1747.0,74.0,2.0,0,0,0,0
2,0,0,1970.0,74.0,2.0,0,0,0,0
3,0,0,1598.0,73.0,2.0,0,0,0,0
4,0,0,1747.0,74.0,2.0,0,0,0,0
5,0,0,1970.0,74.0,2.0,0,0,0,0
6,0,0,1598.0,74.0,2.0,0,0,0,0
7,0,0,1747.0,74.0,2.0,0,0,0,0
8,0,1,1970.0,73.5,2.0,0,0,0,0
9,0,0,1970.0,73.5,2.0,0,0,0,0
10,0,0,2387.0,74.0,2.0,0,0,0,0
11,0,2,2492.0,74.0,2.0,0,0,0,0
12,0,3,2492.0,71.0,2.0,0,0,0,0
13,0,0,1598.0,74.0,2.0,0,0,0,0
14,0,0,1747.0,74.0,2.0,0,0,0,0
15,0,1,1970.0,73.5,2.0,0,0,0,0
16,0,0,1970.0,73.5,2.0,0,0,0,0
17,0,0,2387.0,74.0,2.0,0,0,0,0
18,0,2,2492.0,74.0,2.0,0,0,0,0
19,0,3,2492.0,71.0,2.0,0,0,0,0
20,0,0,1970.0,73.5,2.0,0,0,0,0
21,0,0,2492.0,73.0,2.0,0,0,0,0
22,0,3,2492.0,72.0,2.0,0,0,0,0
23,0,3,2959.0,72.0,2.0,0,0,0,0
24,0,2,2959.0,74.0,2.0,0,0,0,0
25,0,0,2959.0,75.0,2.0,0,0,0,0
26,0,2,2959.0,74.0,2.0,0,0,0,0
27,0,0,1970.0,74.0,2.0,0,0,0,0
28,0,4,5935.0,74.0,2.0,0,0,0,0
29,0,2,5935.0,75.0,2.0,0,0,0,0
30,0,3,5340.0,73.9,2.0,0,0,0,0
31,0,3,5340.0,73.9,2.0,0,0,0,0
32,0,2,5340.0,74.9,2.0,0,0,0,0
33,0,5,1781.0,74.0,2.0,0,0,0,0
34,0,5,2671.0,75.0,2.0,0,0,0,0
35,0,6,4172.0,74.0,2.0,0,0,0,0
36,0,6,4172.0,74.0,2.0,0,0,0,0
37,0,0,1595.0,71.0,2.0,0,0,0,0
