,fuel_cost_10000-12000_miles
0,541.8692
1,541.8692
2,541.8692
3,541.8692
4,541.8692
5,541.8692
6,541.8692
7,541.8692
8,541.8692
9,541.8692
10,541.8692
11,541.8692
12,541.8692
13,541.8692
14,541.8692
15,541.8692
16,541.8692
17,541.8692
18,541.8692
19,541.8692
20,541.8692
21,541.8692
22,541.8692
23,541.8692
24,541.8692
25,541.8692
26,541.8692
27,541.8692
28,541.8692
29,541.8692
30,541.8692
31,541.8692
32,541.8692
33,541.8692
34,541.8692
35,541.8692
36,541.8692
37,541.8692
38,541.8692
39,541.8692
40,541.8692
41,541.8692
42,541.8692
43,541.8692
44,541.8692
45,541.8692
46,541.8692
47,541.8692
48,541.8692
49,541.8692
50,541.8692
51,541.8692
52,541.8692
53,541.8692
54,541.8692
55,541.8692
56,541.8692
57,541.8692
58,541.8692
59,541.8692
60,541.8692
61,541.8692
62,541.8692
63,541.8692
64,541.8692
65,541.8692
66,541.8692
67,541.8692
68,541.8692
69,541.8692
70,541.8692
71,541.8692
72,541.8692
73,541.8692
74,541.8692
75,541.8692
76,541.8692
77,541.8692
78,541.8692
79,541.8692
80,541.8692
81,541.8692
82,541.8692
83,541.8692
84,541.8692
85,541.8692
86,541.8692
87,541.8692
88,541.8692
89,541.8692
90,541.8692
91,541.8692
92,541.8692
93,541.8692
94,541.8692
95,541.8692
96,541.8692
97,541.8692
98,541.8692
99,541.8692
100,541.8692
101,541.8692
102,541.8692
103,541.8692
104,541.8692
105,541.8692
106,541.8692
107,541.8692
108,541.8692
109,541.8692
110,541.8692
111,541.8692
112,541.8692
113,541.8692
114,541.8692
115,541.8692
116,541.8692
117,541.8692
118,541.8692
119,541.8692
120,541.8692
121,541.8692
122,541.8692
123,541.8692
124,541.8692
125,541.8692
126,541.8692
127,541.8692
128,541.8692
129,541.8692
130,541.8692
131,541.8692
132,541.8692
133,541.8692
134,541.8692
135,541.8692
136,541.8692
137,541.8692
138,541.8692
139,541.8692
140,541.8692
141,541.8692
142,541.8692
143,541.8692
144,541.8692
145,541.8692
146,541.8692
147,541.8692
148,541.8692
149,541.8692
150,541.8692
151,541.8692
152,541.8692
153,541.8692
154,541.8692
155,541.8692
156,541.8692
157,541.8692
158,541.8692
159,541.8692
160,541.8692
161,541.8692
162,541.8692
163,541.8692
164,541.8692
165,541.8692
166,541.8692
167,541.8692
168,541.8692
169,541.8692
170,541.8692
171,541.8692
172,541.8692
173,541.8692
