,emissions_nox_[mg/km]
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,430.0
66,470.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,318.0
83,343.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,47.0
98,63.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,69.0
105,0.0
106,0.0
107,95.0
108,101.0
109,9.0
110,6.0
111,47.0
112,94.0
113,69.0
114,98.0
115,69.0
116,98.0
117,69.0
118,98.0
119,411.0
120,411.0
121,86.0
122,89.0
123,78.0
124,86.0
125,78.0
126,86.0
127,95.0
128,118.0
129,95.0
130,118.0
131,95.0
132,118.0
133,9.0
134,13.0
135,9.0
136,13.0
137,437.0
138,464.0
139,437.0
140,464.0
141,9.0
142,13.0
143,9.0
144,13.0
145,0.0
146,0.0
147,0.0
148,0.0
149,78.0
150,86.0
151,78.0
152,86.0
153,95.0
154,118.0
155,95.0
156,118.0
157,436.0
158,414.0
159,436.0
160,414.0
161,52.0
162,89.0
163,58.0
164,84.0
165,58.0
166,84.0
167,104.0
168,118.0
169,89.0
170,84.0
171,84.0
172,55.0
173,55.0
174,88.0
175,104.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,78.0
187,58.0
188,24.0
189,35.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,90.0
199,1013.0
200,114.0
201,24.0
202,0.0
203,70.0
204,110.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,98.0
218,35.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,25.0
268,0.0
269,0.0
270,0.0
271,339.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,56.0
358,0.0
359,56.0
360,0.0
361,11.0
362,14.0
363,0.0
364,0.0
365,38.0
366,95.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,61.0
379,29.0
380,0.0
381,0.0
382,61.0
383,29.0
384,0.0
385,0.0
386,95.0
387,0.0
388,95.0
389,0.0
390,0.0
391,0.0
392,31.0
393,0.0
394,454.0
395,52.0
396,0.0
397,52.0
398,0.0
399,48.0
400,0.0
401,59.0
402,0.0
403,48.0
404,0.0
405,59.0
406,0.0
407,59.0
408,0.0
409,59.0
410,0.0
411,59.0
412,0.0
413,43.0
414,0.0
415,43.0
416,0.0
417,43.0
418,0.0
419,43.0
420,0.0
421,43.0
422,0.0
423,43.0
424,0.0
425,489.0
426,0.0
427,489.0
428,0.0
429,489.0
430,0.0
431,0.0
432,489.0
433,53.0
434,0.0
435,53.0
436,0.0
437,0.0
438,53.0
439,0.0
440,53.0
441,53.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,103.0
451,0.0
452,103.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,387.0
480,457.0
481,387.0
482,78.0
483,84.0
484,59.0
485,676.0
486,591.0
487,775.0
488,695.0
489,36.0
490,47.0
491,671.0
492,689.0
493,628.0
494,667.0
495,643.0
496,705.0
497,616.0
498,624.0
499,0.0
500,83.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,57.0
526,59.0
527,57.0
528,42.0
529,57.0
530,42.0
531,57.0
532,59.0
533,76.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,39.0
545,42.0
546,57.0
547,42.0
548,39.0
549,42.0
550,39.0
551,42.0
552,57.0
553,42.0
554,37.0
555,39.0
556,0.0
557,45.0
558,36.0
559,45.0
560,0.0
561,34.0
562,34.0
563,40.0
564,40.0
565,0.0
566,0.0
567,64.0
568,93.0
569,64.0
