,co2
0,195
1,200
2,210
3,195
4,200
5,210
6,195
7,195
8,202
9,202
10,178
11,271
12,283
13,198
14,199
15,209
16,209
17,180
18,280
19,287
20,230
21,271
22,289
23,308
24,296
25,278
26,278
27,220
28,460
29,450
30,483
31,503
32,511
33,221
34,276
35,350
36,341
37,187
38,204
39,202
40,223
41,192
42,223
43,230
44,138
45,173
46,143
47,173
48,197
49,211
50,206
51,214
52,197
53,228
54,221
55,149
56,176
57,230
58,242
59,186
60,213
61,213
62,235
63,254
64,264
65,146
66,186
67,206
68,235
69,230
70,159
71,186
72,242
73,262
74,264
75,192
76,224
77,283
78,298
79,266
80,281
81,317
82,219
83,243
84,259
85,298
86,317
87,317
88,218
89,250
90,270
91,256
92,267
93,216
94,223
95,230
96,228
97,183
98,213
99,168
100,187
101,209
102,268
103,268
104,187
105,220
106,237
107,225
108,249
109,228
110,242
111,187
112,213
113,188
114,216
115,188
116,216
117,194
118,223
119,152
120,156
121,232
122,254
123,215
124,239
125,215
126,239
127,216
128,241
129,216
130,241
131,223
132,247
133,237
134,254
135,218
136,238
137,181
138,213
139,186
140,216
141,218
142,238
143,225
144,244
145,215
146,237
147,229
148,250
149,225
150,245
151,235
152,256
153,228
154,252
155,235
156,257
157,189
158,221
159,194
160,227
161,279
162,282
163,292
164,292
165,299
166,304
167,336
168,267
169,291
170,306
171,301
172,332
173,327
174,335
175,349
176,330
177,334
178,319
179,345
180,275
181,294
182,320
183,294
184,299
185,306
186,202
187,185
188,205
189,232
190,483
191,229
192,228
193,228
194,287
195,287
196,279
197,255
198,341
199,308
200,366
201,390
202,273
203,311
204,325
205,178
206,210
207,178
208,149
209,155
210,160
211,195
212,139
213,178
214,194
215,182
216,252
217,221
218,232
219,215
220,209
221,217
222,214
223,223
224,225
225,150
226,156
227,154
228,160
229,219
230,232
231,223
232,234
233,237
234,241
235,281
236,225
237,255
238,225
239,255
240,246
241,258
242,246
243,258
244,185
245,235
246,185
247,240
248,204
249,204
250,260
251,284
252,170
253,170
254,177
255,185
256,177
257,185
258,177
259,198
260,198
261,198
262,164
263,164
264,141
265,141
266,224
267,178
268,187
269,187
270,147
271,147
272,271
273,309
274,258
275,184
276,184
277,192
278,209
279,215
280,245
281,215
282,245
283,149
284,149
285,282
286,303
287,313
288,245
289,290
290,198
291,198
292,214
293,233
294,215
295,236
296,180
297,164
298,127
299,157
300,248
301,181
302,195
303,132
304,151
305,205
306,222
307,415
308,495
309,520
310,530
311,198
312,186
313,218
314,199
315,164
316,146
317,171
318,183
319,197
320,222
321,162
322,143
323,168
324,232
325,240
326,197
327,219
328,199
329,234
330,149
331,177
332,169
333,200
334,222
335,205
336,237
337,151
338,180
339,173
340,205
341,170
342,136
343,142
344,155
345,150
346,197
347,130
348,142
349,159
350,171
351,145
352,145
353,148
354,151
355,252
356,182
357,206
358,205
359,204
360,202
361,245
362,250
363,228
364,240
365,245
366,180
367,180
368,175
369,195
370,193
371,195
372,188
373,187
374,182
375,185
376,182
377,350
378,161
379,167
380,161
381,167
382,161
383,171
384,161
385,171
386,161
387,166
388,171
389,171
390,161
391,169
392,171
393,171
394,144
395,158
396,153
397,162
398,162
399,169
400,169
401,200
402,192
403,167
404,167
405,186
406,186
407,188
408,188
409,196
410,191
411,195
412,195
413,181
414,181
415,179
416,179
417,179
418,179
419,181
420,181
421,181
422,181
423,184
424,184
425,142
426,142
427,144
428,144
429,143
430,143
431,145
432,145
433,204
434,207
435,205
436,205
437,212
438,207
439,207
440,209
441,207
442,176
443,211
444,176
445,240
446,260
447,278
448,295
449,312
450,163
451,163
452,165
453,165
454,182
455,186
456,185
457,187
458,192
459,173
460,188
461,166
462,179
463,210
464,229
465,192
466,205
467,195
468,208
469,199
470,218
471,212
472,241
473,232
474,251
475,228
476,243
477,249
478,242
479,178
480,211
481,176
482,242
483,264
484,259
485,194
486,200
487,186
488,196
489,254
490,262
491,224
492,239
493,216
494,236
495,221
496,242
497,222
498,237
499,171
500,178
501,178
502,227
503,238
504,237
505,254
506,219
507,225
508,218
509,223
510,265
511,216
512,232
513,273
514,237
515,200
516,215
517,200
518,215
519,200
520,216
521,200
522,216
523,200
524,215
525,204
526,215
527,204
528,217
529,204
530,217
531,204
532,215
533,229
534,200
535,216
536,200
537,216
538,205
539,216
540,205
541,216
542,200
543,216
544,209
545,217
546,204
547,217
548,209
549,217
550,209
551,217
552,204
553,217
554,215
555,235
556,253
557,161
558,183
559,161
560,198
561,181
562,181
563,198
564,181
565,161
566,161
567,190
568,214
569,190
570,214
571,190
572,214
573,190
574,214
575,206
576,190
577,214
578,190
579,214
580,190
581,214
582,190
583,214
584,206
585,173
586,194
587,198
588,229
589,235
590,229
591,235
592,235
593,195
594,204
595,201
596,201
597,205
598,205
599,80
600,208
601,291
602,151
603,167
604,285
605,281
606,285
607,281
608,234
609,248
610,220
611,235
612,255
613,255
614,175
615,203
616,154
617,176
618,191
619,179
620,205
621,166
622,188
623,151
624,161
625,174
626,151
627,161
628,174
629,151
630,184
631,217
632,217
633,184
634,212
635,226
636,212
637,226
638,184
639,214
640,196
641,227
642,213
643,224
644,240
645,223
646,247
647,271
648,256
649,278
650,289
651,326
652,358
653,309
654,309
655,285
656,285
657,284
658,268
659,299
660,288
661,288
662,285
663,285
664,309
665,284
666,284
667,299
668,293
669,288
670,288
671,285
672,285
673,288
674,288
675,285
676,285
677,288
678,285
679,202
680,220
681,258
682,244
683,264
684,185
685,211
686,265
687,269
688,222
689,240
690,185
691,211
692,216
693,225
694,275
695,575
696,590
697,575
698,575
699,575
700,530
701,575
702,539
703,539
704,539
705,299
706,282
707,397
708,397
709,262
710,284
711,248
712,208
713,289
714,304
715,385
716,398
717,278
718,229
719,232
720,292
721,168
722,174
723,225
724,218
725,294
726,328
727,328
728,328
729,244
730,223
731,388
732,422
733,395
734,403
735,447
736,418
737,160
738,161
739,177
740,181
741,197
742,197
743,216
744,149
745,184
746,195
747,214
748,189
749,205
750,198
751,196
752,158
753,152
754,169
755,176
756,190
757,242
758,211
759,218
760,232
761,198
762,201
763,220
764,158
765,245
766,180
767,171
768,171
769,182
770,172
771,172
772,183
773,131
774,156
775,185
776,196
777,226
778,228
779,164
780,181
781,262
782,245
783,254
784,245
785,218
786,221
787,222
788,225
789,161
790,178
791,233
792,237
793,250
794,245
795,280
796,299
797,320
798,308
799,321
800,228
801,225
802,240
803,245
804,262
805,281
806,226
807,223
808,233
809,237
810,242
811,272
812,281
813,223
814,235
815,269
816,254
817,271
818,269
819,209
820,254
821,273
822,300
823,213
824,230
825,164
826,177
827,262
828,247
829,259
830,257
831,207
832,247
833,259
834,293
835,248
836,254
