,fuel_cost_12000_miles
0,1548.0944902824476
1,1548.0944902824476
2,1548.0944902824476
3,1548.0944902824476
4,1548.0944902824476
5,1548.0944902824476
6,1548.0944902824476
7,1548.0944902824476
8,1548.0944902824476
9,1548.0944902824476
10,1548.0944902824476
11,1548.0944902824476
12,1548.0944902824476
13,1548.0944902824476
14,1548.0944902824476
15,1548.0944902824476
16,1548.0944902824476
17,1548.0944902824476
18,1548.0944902824476
19,1548.0944902824476
20,1548.0944902824476
21,1548.0944902824476
22,1548.0944902824476
23,1548.0944902824476
24,1548.0944902824476
25,1548.0944902824476
26,1548.0944902824476
27,1548.0944902824476
28,1548.0944902824476
29,1548.0944902824476
30,1548.0944902824476
31,1548.0944902824476
32,1548.0944902824476
33,1548.0944902824476
34,1548.0944902824476
35,1548.0944902824476
36,1548.0944902824476
37,1548.0944902824476
38,1548.0944902824476
39,1548.0944902824476
40,1548.0944902824476
41,1548.0944902824476
42,1548.0944902824476
43,1548.0944902824476
44,1548.0944902824476
45,1548.0944902824476
46,1548.0944902824476
47,1548.0944902824476
48,1548.0944902824476
49,1548.0944902824476
50,1548.0944902824476
51,1548.0944902824476
52,1548.0944902824476
53,1548.0944902824476
54,1548.0944902824476
55,1548.0944902824476
56,1548.0944902824476
57,1548.0944902824476
58,1548.0944902824476
59,1548.0944902824476
60,1548.0944902824476
61,1548.0944902824476
62,1548.0944902824476
63,1548.0944902824476
64,1548.0944902824476
65,1548.0944902824476
66,1548.0944902824476
67,1548.0944902824476
68,1548.0944902824476
69,1548.0944902824476
70,1548.0944902824476
71,1548.0944902824476
72,1548.0944902824476
73,1548.0944902824476
74,1548.0944902824476
75,1548.0944902824476
76,1548.0944902824476
77,1548.0944902824476
78,1548.0944902824476
79,1548.0944902824476
80,1548.0944902824476
81,1548.0944902824476
82,1548.0944902824476
83,1548.0944902824476
84,1548.0944902824476
85,1548.0944902824476
86,1548.0944902824476
87,1548.0944902824476
88,1548.0944902824476
89,1548.0944902824476
90,1548.0944902824476
91,1548.0944902824476
92,1548.0944902824476
93,1548.0944902824476
94,1548.0944902824476
95,1548.0944902824476
96,1548.0944902824476
97,1548.0944902824476
98,1548.0944902824476
99,1548.0944902824476
100,1548.0944902824476
101,1548.0944902824476
102,1548.0944902824476
103,1548.0944902824476
104,1548.0944902824476
105,1548.0944902824476
106,1548.0944902824476
107,1548.0944902824476
108,1548.0944902824476
109,1548.0944902824476
110,1548.0944902824476
111,1548.0944902824476
112,1548.0944902824476
113,1548.0944902824476
114,1548.0944902824476
115,1548.0944902824476
116,1548.0944902824476
117,1548.0944902824476
118,1548.0944902824476
119,1548.0944902824476
120,1548.0944902824476
121,1548.0944902824476
122,1548.0944902824476
123,1548.0944902824476
124,1548.0944902824476
125,1548.0944902824476
126,1548.0944902824476
127,1548.0944902824476
128,1548.0944902824476
129,1548.0944902824476
130,1548.0944902824476
131,1548.0944902824476
132,1548.0944902824476
133,1548.0944902824476
134,1548.0944902824476
135,1548.0944902824476
136,1548.0944902824476
137,1548.0944902824476
138,1548.0944902824476
139,1548.0944902824476
140,1548.0944902824476
141,1548.0944902824476
142,1548.0944902824476
143,1548.0944902824476
144,1548.0944902824476
145,1548.0944902824476
146,1548.0944902824476
147,1548.0944902824476
148,1548.0944902824476
149,1548.0944902824476
150,1548.0944902824476
151,1548.0944902824476
152,1548.0944902824476
153,1548.0944902824476
154,1548.0944902824476
155,1548.0944902824476
156,1548.0944902824476
157,1548.0944902824476
158,1548.0944902824476
159,1548.0944902824476
160,1548.0944902824476
161,1548.0944902824476
162,1548.0944902824476
163,1548.0944902824476
164,1548.0944902824476
165,1548.0944902824476
166,1548.0944902824476
167,1548.0944902824476
168,1548.0944902824476
169,1548.0944902824476
170,1548.0944902824476
171,1548.0944902824476
172,1548.0944902824476
173,1548.0944902824476
174,1548.0944902824476
175,1548.0944902824476
176,1548.0944902824476
177,1548.0944902824476
178,1548.0944902824476
179,1548.0944902824476
180,1548.0944902824476
181,1548.0944902824476
182,1548.0944902824476
183,1548.0944902824476
184,1548.0944902824476
185,1548.0944902824476
186,1548.0944902824476
187,1548.0944902824476
188,1548.0944902824476
189,1548.0944902824476
190,1548.0944902824476
191,1548.0944902824476
192,1548.0944902824476
193,1548.0944902824476
194,1548.0944902824476
195,1548.0944902824476
196,1548.0944902824476
197,1548.0944902824476
198,1548.0944902824476
199,1548.0944902824476
200,1548.0944902824476
201,1548.0944902824476
202,1548.0944902824476
203,1548.0944902824476
204,1548.0944902824476
205,1548.0944902824476
206,1548.0944902824476
207,1548.0944902824476
208,1548.0944902824476
209,1548.0944902824476
210,1548.0944902824476
211,1548.0944902824476
212,1548.0944902824476
213,1548.0944902824476
214,1548.0944902824476
215,1548.0944902824476
216,1548.0944902824476
217,1548.0944902824476
218,1548.0944902824476
219,1548.0944902824476
220,1548.0944902824476
221,1548.0944902824476
222,1548.0944902824476
223,1548.0944902824476
224,1548.0944902824476
225,1548.0944902824476
226,1548.0944902824476
227,1548.0944902824476
228,1548.0944902824476
229,1548.0944902824476
230,1548.0944902824476
231,1548.0944902824476
232,1548.0944902824476
233,1548.0944902824476
234,1548.0944902824476
235,1548.0944902824476
236,1548.0944902824476
237,1548.0944902824476
238,1548.0944902824476
239,1548.0944902824476
240,1548.0944902824476
241,1548.0944902824476
242,1548.0944902824476
243,1548.0944902824476
244,1548.0944902824476
245,1548.0944902824476
246,1548.0944902824476
247,1548.0944902824476
248,1548.0944902824476
249,1548.0944902824476
250,1548.0944902824476
251,1548.0944902824476
252,1548.0944902824476
253,1548.0944902824476
254,1548.0944902824476
255,1548.0944902824476
256,1548.0944902824476
257,1548.0944902824476
258,1548.0944902824476
259,1548.0944902824476
260,1548.0944902824476
261,1548.0944902824476
262,1548.0944902824476
263,1548.0944902824476
264,1548.0944902824476
265,1548.0944902824476
266,1548.0944902824476
267,1548.0944902824476
268,1548.0944902824476
269,1548.0944902824476
270,1548.0944902824476
271,1548.0944902824476
272,1548.0944902824476
273,1548.0944902824476
274,1548.0944902824476
275,1548.0944902824476
276,1548.0944902824476
277,1548.0944902824476
278,1548.0944902824476
279,1548.0944902824476
280,1548.0944902824476
281,1548.0944902824476
282,1548.0944902824476
283,1548.0944902824476
284,1548.0944902824476
285,1548.0944902824476
286,1548.0944902824476
287,1548.0944902824476
288,1548.0944902824476
289,1548.0944902824476
290,1548.0944902824476
291,1548.0944902824476
292,1548.0944902824476
293,1548.0944902824476
294,1548.0944902824476
295,1548.0944902824476
296,1548.0944902824476
297,1548.0944902824476
298,1548.0944902824476
299,1548.0944902824476
300,1548.0944902824476
301,1548.0944902824476
302,1548.0944902824476
303,1548.0944902824476
304,1548.0944902824476
305,1548.0944902824476
306,1548.0944902824476
307,1548.0944902824476
308,1548.0944902824476
309,1548.0944902824476
310,1548.0944902824476
311,1548.0944902824476
312,1548.0944902824476
313,1548.0944902824476
314,1548.0944902824476
315,1548.0944902824476
316,1548.0944902824476
317,1548.0944902824476
318,1548.0944902824476
319,1548.0944902824476
320,1548.0944902824476
321,1548.0944902824476
322,1548.0944902824476
323,1548.0944902824476
324,1548.0944902824476
