,nox_emissions
0,127.16438692403482
1,127.16438692403482
2,127.16438692403482
3,127.16438692403482
4,127.16438692403482
5,127.16438692403482
6,127.16438692403482
7,127.16438692403482
8,127.16438692403482
9,127.16438692403482
10,127.16438692403482
11,127.16438692403482
12,127.16438692403482
13,127.16438692403482
14,127.16438692403482
15,127.16438692403482
16,127.16438692403482
17,127.16438692403482
18,127.16438692403482
19,127.16438692403482
20,127.16438692403482
21,127.16438692403482
22,127.16438692403482
23,127.16438692403482
24,127.16438692403482
25,127.16438692403482
26,127.16438692403482
27,127.16438692403482
28,127.16438692403482
29,127.16438692403482
30,127.16438692403482
31,127.16438692403482
32,127.16438692403482
33,127.16438692403482
34,127.16438692403482
35,127.16438692403482
36,127.16438692403482
37,127.16438692403482
38,127.16438692403482
39,127.16438692403482
40,127.16438692403482
41,127.16438692403482
42,127.16438692403482
43,127.16438692403482
44,127.16438692403482
45,127.16438692403482
46,127.16438692403482
47,127.16438692403482
48,127.16438692403482
49,127.16438692403482
50,127.16438692403482
51,127.16438692403482
52,127.16438692403482
53,127.16438692403482
54,127.16438692403482
55,127.16438692403482
56,127.16438692403482
57,127.16438692403482
58,127.16438692403482
59,127.16438692403482
60,127.16438692403482
61,127.16438692403482
62,127.16438692403482
63,127.16438692403482
64,127.16438692403482
65,430.0
66,470.0
67,127.16438692403482
68,127.16438692403482
69,127.16438692403482
70,127.16438692403482
71,127.16438692403482
72,127.16438692403482
73,127.16438692403482
74,127.16438692403482
75,127.16438692403482
76,127.16438692403482
77,127.16438692403482
78,127.16438692403482
79,127.16438692403482
80,127.16438692403482
81,127.16438692403482
82,318.0
83,343.0
84,127.16438692403482
85,127.16438692403482
86,127.16438692403482
87,127.16438692403482
88,127.16438692403482
89,127.16438692403482
90,127.16438692403482
91,127.16438692403482
92,127.16438692403482
93,127.16438692403482
94,127.16438692403482
95,127.16438692403482
96,127.16438692403482
97,47.0
98,63.0
99,127.16438692403482
100,127.16438692403482
101,127.16438692403482
102,127.16438692403482
103,127.16438692403482
104,69.0
105,127.16438692403482
106,127.16438692403482
107,95.0
108,101.0
109,9.0
110,6.0
111,47.0
112,94.0
113,69.0
114,98.0
115,69.0
116,98.0
117,69.0
118,98.0
119,411.0
120,411.0
121,86.0
122,89.0
123,78.0
124,86.0
125,78.0
126,86.0
127,95.0
128,118.0
129,95.0
130,118.0
131,95.0
132,118.0
133,9.0
134,13.0
135,9.0
136,13.0
137,437.0
138,464.0
139,437.0
140,464.0
141,9.0
142,13.0
143,9.0
144,13.0
145,127.16438692403482
146,127.16438692403482
147,127.16438692403482
148,127.16438692403482
149,78.0
150,86.0
151,78.0
152,86.0
153,95.0
154,118.0
155,95.0
156,118.0
157,436.0
158,414.0
159,436.0
160,414.0
161,52.0
162,89.0
163,58.0
164,84.0
165,58.0
166,84.0
167,104.0
168,118.0
169,89.0
170,84.0
171,84.0
172,55.0
173,55.0
174,88.0
175,104.0
176,127.16438692403482
177,127.16438692403482
178,127.16438692403482
179,127.16438692403482
180,127.16438692403482
181,127.16438692403482
182,127.16438692403482
183,127.16438692403482
184,127.16438692403482
185,127.16438692403482
186,78.0
187,58.0
188,24.0
189,35.0
190,127.16438692403482
191,127.16438692403482
192,127.16438692403482
193,127.16438692403482
194,127.16438692403482
195,127.16438692403482
196,127.16438692403482
197,127.16438692403482
198,90.0
199,1013.0
200,114.0
201,24.0
202,127.16438692403482
203,70.0
204,110.0
205,127.16438692403482
206,127.16438692403482
207,127.16438692403482
208,127.16438692403482
209,127.16438692403482
210,127.16438692403482
211,127.16438692403482
212,127.16438692403482
213,127.16438692403482
214,127.16438692403482
215,127.16438692403482
216,127.16438692403482
217,98.0
218,35.0
219,127.16438692403482
220,127.16438692403482
221,127.16438692403482
222,127.16438692403482
223,127.16438692403482
224,127.16438692403482
225,127.16438692403482
226,127.16438692403482
227,127.16438692403482
228,127.16438692403482
229,127.16438692403482
230,127.16438692403482
231,127.16438692403482
232,127.16438692403482
233,127.16438692403482
234,127.16438692403482
235,127.16438692403482
236,127.16438692403482
237,127.16438692403482
238,127.16438692403482
239,127.16438692403482
240,127.16438692403482
241,127.16438692403482
242,127.16438692403482
243,127.16438692403482
244,127.16438692403482
245,127.16438692403482
246,127.16438692403482
247,127.16438692403482
248,127.16438692403482
249,127.16438692403482
250,127.16438692403482
251,127.16438692403482
252,127.16438692403482
253,127.16438692403482
254,127.16438692403482
255,127.16438692403482
256,127.16438692403482
257,127.16438692403482
258,127.16438692403482
259,127.16438692403482
260,127.16438692403482
261,127.16438692403482
262,127.16438692403482
263,127.16438692403482
264,127.16438692403482
265,127.16438692403482
266,127.16438692403482
267,25.0
268,127.16438692403482
269,127.16438692403482
270,127.16438692403482
271,339.0
272,127.16438692403482
273,127.16438692403482
274,127.16438692403482
275,127.16438692403482
276,127.16438692403482
277,127.16438692403482
278,127.16438692403482
