,thc_emissions_[mg/km]
0,49.22662638179499
1,49.22662638179499
2,49.22662638179499
3,49.22662638179499
4,49.22662638179499
5,49.22662638179499
6,49.22662638179499
7,49.22662638179499
8,49.22662638179499
9,49.22662638179499
10,49.22662638179499
11,49.22662638179499
12,49.22662638179499
13,49.22662638179499
14,49.22662638179499
15,49.22662638179499
16,49.22662638179499
17,49.22662638179499
18,49.22662638179499
19,49.22662638179499
20,49.22662638179499
21,49.22662638179499
22,49.22662638179499
23,49.22662638179499
24,49.22662638179499
25,49.22662638179499
26,49.22662638179499
27,49.22662638179499
28,49.22662638179499
29,49.22662638179499
30,49.22662638179499
31,49.22662638179499
32,49.22662638179499
33,49.22662638179499
34,49.22662638179499
35,49.22662638179499
36,49.22662638179499
37,49.22662638179499
38,49.22662638179499
39,49.22662638179499
40,49.22662638179499
41,49.22662638179499
42,49.22662638179499
43,49.22662638179499
44,49.22662638179499
45,49.22662638179499
46,49.22662638179499
47,49.22662638179499
48,49.22662638179499
49,49.22662638179499
50,49.22662638179499
51,49.22662638179499
52,49.22662638179499
53,49.22662638179499
54,49.22662638179499
55,49.22662638179499
56,49.22662638179499
57,49.22662638179499
58,49.22662638179499
59,49.22662638179499
60,49.22662638179499
61,49.22662638179499
62,49.22662638179499
63,49.22662638179499
64,49.22662638179499
65,49.22662638179499
66,49.22662638179499
67,49.22662638179499
68,49.22662638179499
69,49.22662638179499
70,49.22662638179499
71,49.22662638179499
72,49.22662638179499
73,49.22662638179499
74,49.22662638179499
75,49.22662638179499
76,49.22662638179499
77,49.22662638179499
78,49.22662638179499
79,49.22662638179499
80,49.22662638179499
81,49.22662638179499
82,49.22662638179499
83,49.22662638179499
84,49.22662638179499
85,49.22662638179499
86,49.22662638179499
87,49.22662638179499
88,49.22662638179499
89,49.22662638179499
90,49.22662638179499
91,49.22662638179499
92,49.22662638179499
93,49.22662638179499
94,49.22662638179499
95,49.22662638179499
96,49.22662638179499
97,95.0
98,131.0
99,49.22662638179499
100,49.22662638179499
101,49.22662638179499
102,49.22662638179499
103,49.22662638179499
104,122.0
105,49.22662638179499
106,49.22662638179499
107,134.0
108,134.0
109,48.0
110,58.0
111,95.0
112,139.0
113,122.0
114,111.0
115,122.0
116,111.0
117,122.0
118,111.0
119,49.22662638179499
120,49.22662638179499
121,153.0
122,184.0
123,187.0
124,153.0
125,187.0
126,153.0
127,134.0
128,169.0
129,134.0
130,169.0
131,134.0
132,169.0
133,48.0
134,62.0
135,48.0
136,62.0
137,49.22662638179499
138,49.22662638179499
139,49.22662638179499
140,49.22662638179499
141,48.0
142,62.0
143,48.0
144,62.0
145,49.22662638179499
146,49.22662638179499
147,49.22662638179499
148,49.22662638179499
149,187.0
150,153.0
151,187.0
152,153.0
153,134.0
154,169.0
155,134.0
156,169.0
157,49.22662638179499
158,49.22662638179499
159,49.22662638179499
160,49.22662638179499
161,125.0
162,135.0
163,73.0
164,108.0
165,73.0
166,108.0
167,108.0
168,169.0
169,135.0
170,108.0
171,108.0
172,95.0
173,95.0
174,127.0
175,108.0
176,49.22662638179499
177,49.22662638179499
178,49.22662638179499
179,49.22662638179499
180,49.22662638179499
181,49.22662638179499
182,49.22662638179499
183,49.22662638179499
184,49.22662638179499
185,49.22662638179499
186,120.0
187,126.0
188,78.0
189,95.0
190,49.22662638179499
191,49.22662638179499
192,49.22662638179499
193,49.22662638179499
194,49.22662638179499
195,49.22662638179499
196,49.22662638179499
197,49.22662638179499
198,130.0
199,10.0
200,156.0
201,135.0
202,49.22662638179499
203,110.0
204,120.0
205,49.22662638179499
206,49.22662638179499
207,49.22662638179499
208,49.22662638179499
209,49.22662638179499
210,49.22662638179499
211,49.22662638179499
212,49.22662638179499
213,49.22662638179499
214,49.22662638179499
215,49.22662638179499
216,49.22662638179499
217,42.0
218,79.0
219,49.22662638179499
220,49.22662638179499
221,49.22662638179499
222,49.22662638179499
223,49.22662638179499
224,49.22662638179499
225,49.22662638179499
226,49.22662638179499
227,49.22662638179499
228,49.22662638179499
229,49.22662638179499
230,49.22662638179499
231,49.22662638179499
232,49.22662638179499
233,49.22662638179499
234,49.22662638179499
235,49.22662638179499
236,49.22662638179499
237,49.22662638179499
238,49.22662638179499
239,49.22662638179499
240,49.22662638179499
241,49.22662638179499
242,49.22662638179499
243,49.22662638179499
244,49.22662638179499
245,49.22662638179499
246,49.22662638179499
247,49.22662638179499
248,49.22662638179499
249,49.22662638179499
250,49.22662638179499
251,49.22662638179499
252,49.22662638179499
253,49.22662638179499
254,49.22662638179499
255,49.22662638179499
256,49.22662638179499
257,49.22662638179499
258,49.22662638179499
259,49.22662638179499
260,49.22662638179499
261,49.22662638179499
262,49.22662638179499
263,49.22662638179499
264,49.22662638179499
265,49.22662638179499
266,49.22662638179499
267,121.0
268,49.22662638179499
269,49.22662638179499
270,49.22662638179499
271,49.22662638179499
272,49.22662638179499
273,49.22662638179499
274,49.22662638179499
275,49.22662638179499
276,49.22662638179499
277,49.22662638179499
278,49.22662638179499
279,49.22662638179499
280,49.22662638179499
281,49.22662638179499
282,49.22662638179499
283,49.22662638179499
284,49.22662638179499
285,49.22662638179499
286,49.22662638179499
287,49.22662638179499
288,49.22662638179499
289,49.22662638179499
290,49.22662638179499
291,49.22662638179499
292,49.22662638179499
293,49.22662638179499
294,49.22662638179499
295,49.22662638179499
296,49.22662638179499
297,49.22662638179499
298,49.22662638179499
299,49.22662638179499
300,49.22662638179499
301,49.22662638179499
302,49.22662638179499
303,49.22662638179499
304,49.22662638179499
305,49.22662638179499
306,49.22662638179499
307,49.22662638179499
308,49.22662638179499
309,49.22662638179499
310,49.22662638179499
311,49.22662638179499
312,49.22662638179499
313,49.22662638179499
314,49.22662638179499
315,49.22662638179499
316,49.22662638179499
317,49.22662638179499
318,49.22662638179499
319,49.22662638179499
320,49.22662638179499
321,49.22662638179499
322,49.22662638179499
323,49.22662638179499
324,49.22662638179499
325,49.22662638179499
326,49.22662638179499
327,49.22662638179499
328,49.22662638179499
329,49.22662638179499
330,49.22662638179499
331,49.22662638179499
332,49.22662638179499
333,49.22662638179499
334,49.22662638179499
335,49.22662638179499
336,49.22662638179499
337,49.22662638179499
338,49.22662638179499
339,49.22662638179499
340,49.22662638179499
341,49.22662638179499
342,49.22662638179499
343,49.22662638179499
344,49.22662638179499
345,49.22662638179499
346,49.22662638179499
347,49.22662638179499
348,49.22662638179499
349,49.22662638179499
350,49.22662638179499
351,49.22662638179499
352,49.22662638179499
353,49.22662638179499
354,49.22662638179499
355,49.22662638179499
356,49.22662638179499
357,73.0
358,49.22662638179499
359,73.0
360,49.22662638179499
361,84.0
362,108.0
363,49.22662638179499
364,49.22662638179499
365,27.0
366,110.0
367,49.22662638179499
368,49.22662638179499
369,49.22662638179499
370,49.22662638179499
371,49.22662638179499
372,49.22662638179499
373,49.22662638179499
374,49.22662638179499
375,49.22662638179499
376,49.22662638179499
377,49.22662638179499
378,54.0
379,84.0
380,49.22662638179499
381,49.22662638179499
382,54.0
383,84.0
384,49.22662638179499
385,49.22662638179499
386,110.0
387,49.22662638179499
388,110.0
389,49.22662638179499
390,49.22662638179499
391,49.22662638179499
392,52.0
393,49.22662638179499
394,49.22662638179499
395,137.0
396,49.22662638179499
397,137.0
398,49.22662638179499
399,52.0
400,49.22662638179499
401,115.0
402,49.22662638179499
403,52.0
404,49.22662638179499
405,115.0
406,49.22662638179499
407,115.0
408,49.22662638179499
409,115.0
410,49.22662638179499
411,115.0
412,49.22662638179499
413,91.0
414,49.22662638179499
415,91.0
416,49.22662638179499
417,91.0
418,49.22662638179499
419,91.0
420,49.22662638179499
421,91.0
422,49.22662638179499
423,91.0
424,49.22662638179499
425,49.22662638179499
426,49.22662638179499
427,49.22662638179499
428,49.22662638179499
429,49.22662638179499
