,key,value
0,M5,0
1,SAT5,1
2,M6,2
3,A4,3
4,A5,4
5,QM6,5
6,QA5,6
7,QM5,7
8,QM,8
9,QA,9
10,FA5,10
11,FM5,11
12,FA4,12
13,A3,13
14,CVT,14
15,A,15
16,4SS,16
17,M4,17
18,SAT 5,18
19,5MT,19
20,4AT,20
21,M5x2,21
22,M5/s,22
23,SM6,23
24,A6,24
25,MT,25
26,AT,26
27,M5N,27
28,A4L,28
29,M5NE,29
30,A4NE,30
31,3AT,31
32,5MTx2,32
33,4ATx2,33
34,A4x2,34
35,M,35
36,AV,36
37,QA6,37
38,SS5,38
39,S/A6,39
40,M3,40
41,MTA,41
42,SAT6,42
43,Hybrid,43
44,QD6,44
45,D6,45
46,A/SAT5,46
47,ASM,47
48,A5x2,48
49,M6/S6,49
50,A7,50
51,Multi5,51
52,E-CVT,52
53,Electric,53
54,m5,54
55,SMG 7,55
56,6MT,56
57,5A/Tx2,57
58,M6x2,58
59,5AT,59
60,6AMT,60
61,5 AMT,61
62,MTA5,62
63,i-SHIFT,63
64,A8,64
65,DCT7,65
66,M6-AWD,66
67,S6,67
68,A6x2,68
69,D7,69
70,M7,70
71,A5-AWD,71
72,MultiDrive,72
73,MTA6,73
74,QD7,74
75,A6-AWD,75
76,DM6,76
77,MCVT,77
78,Semi-Auto,78
79,AM5,79
80,Multi6,80
81,MultiDriv,81
82,DCT6,82
83,ET5,83
84,QA8,84
85,6AT,85
86,AMT6,86
87,AMT5,87
88,7SP. SSG,88
89,ASM  ,89
90,,90
91,M8,91
92,A8-AWD,92
