,key,value
0,m5,0
1,sat5,1
2,m6,2
3,a4,3
4,a5,4
5,qm6,5
6,qa5,6
7,qm5,7
8,qm,8
9,qa,9
10,fa5,10
11,fm5,11
12,fa4,12
13,a3,13
14,cvt,14
15,a,15
16,4ss,16
17,m4,17
18,sat_5,18
19,5mt,19
20,4at,20
21,m5x2,21
22,m5/s,22
23,sm6,23
24,a6,24
25,mt,25
26,at,26
27,m5n,27
28,a4l,28
29,m5ne,29
30,a4ne,30
31,3at,31
32,5mtx2,32
33,4atx2,33
34,a4x2,34
35,m,35
36,av,36
37,qa6,37
38,ss5,38
39,s/a6,39
40,m3,40
41,mta,41
42,sat6,42
43,hybrid,43
44,qd6,44
45,d6,45
46,a/sat5,46
47,asm,47
48,a5x2,48
49,m6/s6,49
50,a7,50
51,multi5,51
52,e-cvt,52
53,electric,53
54,smg_7,54
55,6mt,55
56,5a/tx2,56
57,m6x2,57
58,5at,58
59,6amt,59
60,5_amt,60
61,mta5,61
62,i-shift,62
63,a8,63
64,dct7,64
65,m6-awd,65
66,s6,66
67,a6x2,67
68,d7,68
69,m7,69
70,a5-awd,70
71,multidrive,71
72,mta6,72
73,qd7,73
74,a6-awd,74
75,dm6,75
76,mcvt,76
77,semi-auto,77
78,am5,78
79,multi6,79
80,multidriv,80
81,dct6,81
82,et5,82
83,qa8,83
84,6at,84
85,amt6,85
86,amt5,86
87,7sp._ssg,87
88,asm__,88
89,nan,89
90,m8,90
91,a8-awd,91
92,qd8,92
93,a2/6,93
94,a9,94
95,mps6,95
96,mps6awd,96
97,8at,97
98,mps6-awd,98
99,a7-awd,99
100,a9-awd,100
101,qa7,101
102,10at,102
103,sa6,103
104,7dct,104
105,6-speed_auto_dct,105
106,mt5,106
107,mt6,107
108,10_speed_automatic,108
109,8a-awd,109
110,8a_awd,110
111,dct8,111
112,manual,112
